iter	Passed	Remaining
218	1311	4678
219	1317	4670
220	1323	4663
221	1328	4656
222	1334	4649
223	1340	4643
224	1346	4636
225	1351	4629
226	1357	4622
227	1363	4616
228	1368	4609
229	1374	4601
230	1380	4594
231	1385	4587
232	1391	4580
233	1396	4573
234	1402	4566
235	1408	4560
236	1414	4553
237	1419	4545
238	1425	4538
239	1430	4530
240	1436	4523
241	1441	4516
242	1447	4509
243	1453	4502
244	1458	4495
245	1464	4488
246	1469	4480
247	1475	4474
248	1481	4466
249	1486	4460
250	1492	4453
251	1498	4446
252	1503	4439
253	1509	4432
254	1514	4424
255	1520	4417
256	1525	4410
257	1531	4404
258	1537	4397
259	1543	4393
260	1549	4387
261	1555	4380
262	1560	4373
263	1566	4366
264	1572	4360
265	1577	4353
266	1583	4347
267	1589	4340
268	1594	4333
269	1600	4326
270	1605	4320
271	1611	4313
272	1617	4306
273	1622	4299
274	1628	4293
275	1634	4286
276	1639	4280
277	1645	4273
278	1651	4266
279	1656	4259
280	1661	4252
281	1667	4245
282	1672	4238
283	1678	4231
284	1684	4225
285	1690	4219
286	1695	4213
287	1701	4206
288	1707	4199
289	1712	4192
290	1717	4185
291	1723	4179
292	1729	4172
293	1734	4166
294	1740	4159
295	1746	4153
296	1751	4146
297	1757	4140
298	1763	4134
299	1769	4127
300	1775	4122
301	1780	4115
302	1786	4109
303	1792	4103
304	1797	4097
305	1804	4091
306	1810	4086
307	1816	4080
308	1821	4074
309	1827	4067
310	1833	4061
311	1839	4056
312	1845	4050
313	1851	4045
314	1857	4038
315	1862	4032
316	1869	4026
317	1874	4020
318	1880	4014
319	1886	4007
320	1891	4001
321	1897	3995
322	1903	3988
323	1908	3982
324	1914	3975
325	1919	3969
326	1925	3962
327	1931	3956
328	1936	3949
329	1942	3943
330	1947	3936
331	1953	3930
332	1958	3922
333	1963	3916
334	1969	3909
335	1974	3902
336	1980	3895
337	1985	3888
338	1990	3881
339	1996	3874
340	2001	3868
341	2007	3862
342	2013	3856
343	2018	3850
344	2024	3843
345	2030	3837
346	2036	3832
347	2042	3826
348	2048	3820
349	2053	3814
350	2059	3807
351	2065	3801
352	2070	3795
353	2076	3789
354	2081	3782
355	2087	3775
356	2092	3769
357	2098	3763
358	2104	3757
359	2109	3750
360	2115	3744
361	2120	3737
362	2126	3731
363	2131	3724
364	2137	3718
365	2143	3713
366	2149	3707
367	2154	3700
368	2160	3695
369	2166	3689
370	2172	3682
371	2178	3676
372	2184	3671
373	2189	3665
374	2195	3659
375	2201	3653
376	2206	3646
377	2212	3640
378	2218	3634
379	2223	3628
380	2229	3622
381	2235	3615
382	2240	3609
383	2246	3603
384	2251	3597
385	2257	3590
386	2263	3584
387	2268	3578
388	2274	3572
389	2279	3565
390	2285	3559
391	2290	3553
392	2296	3546
393	2301	3540
394	2307	3533
395	2312	3527
396	2318	3521
397	2324	3515
398	2329	3509
399	2335	3502
400	2340	3496
401	2346	3490
402	2351	3484
403	2357	3477
404	2362	3471
405	2368	3465
406	2374	3458
407	2379	3453
408	2385	3447
409	2391	3441
410	2397	3435
411	2402	3428
412	2408	3422
413	2413	3416
414	2419	3410
415	2425	3404
416	2430	3398
417	2436	3391
418	2441	3385
